word;meaning
leon;lion, tiger, panther, a big cat
leva-sole;sunrise, dawn, daybreak
leva;level, elevate, rise (see 'supa-go')
levi;left (direction)
liabili;responsible, liable, liability, responsibility
libera;freedom, free, liberate
lida-feme-paren;godmother
lida-make;manage, take care of (an issue), deal with
lida-ofisi;headquarters, main offices
lida-paren;godparent, godfather, godmother, guideparent
lida-viro-paren;godfather
lida;lead, leader, direct, guide
liga;tie, bind, knot, league, link, connection, bond
liki-metali;mercury (see 'atomo-80')
liki-salo;sauce, gravy
liki;liquid, liquify, fluid
lila;purple, lilac
limako;snail, slug, a mollusk
limi;limit, limited, restriction, boundary, border
limon;lemon, lime, citrus
limpe;limp, flaccid, floppy, to limp, lax
lin;flash, lightning, bolt
line;line
linga-name;vocabulary
linga-regula;grammar (see 'name-jura')
linga;tongue, lick, language
lipo-patata;fries, chips, french fries, finger chips
lipo;fat, fatty, grease, fatten, to fry
lisa;fox
lita;liter (SI)
litera;letter, literature, character, to spell, literary
Litora-de-denta-materi;Ivory Coast, Côte d'Ivoire, République de Côte d'Ivoire
litora;shore, beach, coast, littoral
loji;logic, logical
loka;lock, to lock, latch, bolt, clasp
loke;location, locate, place
loko;crazy, mad, insane, madden
London;London
longo-midori-melon;cucumber
longo-name-fobo;hippopotomonstrosesquipedaliophobia, hippopotomonstrosesquippedaliophobia
longo-pisi;eel (animal)
longo-ruse;gaslight, gaslighting
longo;long, length, longitude
Losban;Lojban, la .lojban., lo jbobau
lose;lose, loss, failure, fail
lubi;slip, slide, slippery, glide
ludi-man;player (game)
ludi-neso;leisure
ludi;game, play
lujo;luxury, luxurious, opulence, fancy
luki;fortune, luck, lucky
Luksemburg;Luxembourg, Luxemburg
lulu;pearl
luna;moon
lunge;lungs
lupo;wolf
luse;light
ma-sama-sino;more-than sign, more than sign, >
ma;more
Madrid;Madrid
madu;honey
mageneti;magnet, magnetic
maisa;corn
Maja;Maya (civilizations, language, religion, place)
maji-feme;witch
maji-man;wizard, witch, sorcerer, mage, magician, conjurer, enchanter
